version,res,particles,numPressureIters,numSubSteps,effPressureIters,T1_integrate,T2_pushApart,T3_collisions,T4_p2g,T5_density,T6_pressure,T7_g2p,T8_colors,T9_render,T10_transfer,T_total
cuda,50,4189,50,1,50,0.0843,0.2142,0.0314,0.1306,0.0408,1.2808,0.0335,0.0346,7.0421,0.3671,9.5088
cuda,100,18352,50,1,50,0.5085,0.7821,0.0166,0.3621,0.0764,1.8444,0.0767,0.0576,23.2739,0.9715,28.4700
cuda,150,42300,75,3,225,0.7277,5.0193,0.0672,2.3172,0.4522,12.7145,0.4223,0.2097,47.2929,1.5782,71.4612
cuda,200,76104,100,4,400,1.0705,10.5513,0.2565,4.7411,0.7277,22.7131,1.4929,0.4181,85.0753,2.3368,130.0916
